Episode_Title,Season_Episode,Season_Number,Episode_Rating,Series_Name
Sick Girl,"S1, Ep10",S1,6.4,Masters of Horror
Pick Me Up,"S1, Ep11",S1,6.4,Masters of Horror
Haeckel's Tale,"S1, Ep12",S1,6.1,Masters of Horror
Imprint,"S1, Ep13",S1,7.0,Masters of Horror
The Damned Thing,"S2, Ep1",S2,5.3,Masters of Horror
Family,"S2, Ep2",S2,7.2,Masters of Horror
The V Word,"S2, Ep3",S2,5.1,Masters of Horror
Sounds Like,"S2, Ep4",S2,6.2,Masters of Horror
Pro-Life,"S2, Ep5",S2,5.6,Masters of Horror
Pelts,"S2, Ep6",S2,6.5,Masters of Horror
The Screwfly Solution,"S2, Ep7",S2,6.4,Masters of Horror
Valerie on the Stairs,"S2, Ep8",S2,5.7,Masters of Horror
Right to Die,"S2, Ep9",S2,6.3,Masters of Horror
We All Scream for Ice Cream,"S2, Ep10",S2,5.3,Masters of Horror
The Black Cat,"S2, Ep11",S2,6.8,Masters of Horror
The Washingtonians,"S2, Ep12",S2,5.5,Masters of Horror
Dream Cruise,"S2, Ep13",S2,5.1,Masters of Horror
Episode #1.1,"S1, Ep1",S1,8.6,Taboo
Episode #1.2,"S1, Ep2",S1,8.4,Taboo
Episode #1.3,"S1, Ep3",S1,8.3,Taboo
Episode #1.4,"S1, Ep4",S1,8.8,Taboo
Episode #1.5,"S1, Ep5",S1,8.4,Taboo
Episode #1.6,"S1, Ep6",S1,8.8,Taboo
Episode #1.7,"S1, Ep7",S1,8.9,Taboo
Episode #1.8,"S1, Ep8",S1,9.2,Taboo
3 AM,"S1, Ep1",S1,8.6,The Punisher
Two Dead Men,"S1, Ep2",S1,8.3,The Punisher
Kandahar,"S1, Ep3",S1,8.5,The Punisher
Resupply,"S1, Ep4",S1,8.4,The Punisher
Gunner,"S1, Ep5",S1,8.7,The Punisher
The Judas Goat,"S1, Ep6",S1,8.3,The Punisher
Crosshairs,"S1, Ep7",S1,8.7,The Punisher
Cold Steel,"S1, Ep8",S1,8.9,The Punisher
Front Toward Enemy,"S1, Ep9",S1,9.0,The Punisher
Virtue of the Vicious,"S1, Ep10",S1,9.2,The Punisher
Danger Close,"S1, Ep11",S1,9.3,The Punisher
Home,"S1, Ep12",S1,9.5,The Punisher
Memento Mori,"S1, Ep13",S1,9.2,The Punisher
Roadhouse Blues,"S2, Ep1",S2,9.0,The Punisher
Fight or Flight,"S2, Ep2",S2,8.2,The Punisher
Trouble the Water,"S2, Ep3",S2,8.9,The Punisher
Scar Tissue,"S2, Ep4",S2,7.8,The Punisher
One-Eyed Jacks,"S2, Ep5",S2,8.4,The Punisher
Nakazat,"S2, Ep6",S2,8.1,The Punisher
One Bad Day,"S2, Ep7",S2,8.4,The Punisher
My Brother's Keeper,"S2, Ep8",S2,8.3,The Punisher
Flustercluck,"S2, Ep9",S2,8.3,The Punisher
The Dark Hearts of Men,"S2, Ep10",S2,8.8,The Punisher
The Abyss,"S2, Ep11",S2,8.5,The Punisher
Collision Course,"S2, Ep12",S2,8.9,The Punisher
The Whirlwind,"S2, Ep13",S2,9.1,The Punisher
Openings,"S1, Ep1",S1,8.5,The Queen's Gambit
Exchanges,"S1, Ep2",S1,8.8,The Queen's Gambit
Doubled Pawns,"S1, Ep3",S1,8.5,The Queen's Gambit
Middle Game,"S1, Ep4",S1,8.5,The Queen's Gambit
Fork,"S1, Ep5",S1,8.3,The Queen's Gambit
Adjournment,"S1, Ep6",S1,8.5,The Queen's Gambit
End Game,"S1, Ep7",S1,9.3,The Queen's Gambit
