Episode_Title,Season_Episode,Season_Number,Episode_Rating,Series_Name
Crabs in a Barrel,"S2, Ep11",S2,8.7,Atlanta
Somebody's Dead,"S1, Ep1",S1,8.1,Big Little Lies
Serious Mothering,"S1, Ep2",S1,8.2,Big Little Lies
Living the Dream,"S1, Ep3",S1,8.4,Big Little Lies
Push Comes to Shove,"S1, Ep4",S1,8.3,Big Little Lies
Once Bitten,"S1, Ep5",S1,8.7,Big Little Lies
Burning Love,"S1, Ep6",S1,8.6,Big Little Lies
You Get What You Need,"S1, Ep7",S1,9.5,Big Little Lies
What Have They Done?,"S2, Ep1",S2,8.2,Big Little Lies
Tell-Tale Hearts,"S2, Ep2",S2,8.8,Big Little Lies
The End of the World,"S2, Ep3",S2,8.1,Big Little Lies
She Knows,"S2, Ep4",S2,8.2,Big Little Lies
Kill Me,"S2, Ep5",S2,8.2,Big Little Lies
The Bad Mother,"S2, Ep6",S2,8.8,Big Little Lies
I Want to Know,"S2, Ep7",S2,8.8,Big Little Lies
"Dekalog, jeden","S1, Ep1",S1,8.6,Dekalog
"Dekalog, dwa","S1, Ep2",S1,7.8,Dekalog
"Dekalog, trzy","S1, Ep3",S1,7.5,Dekalog
"Dekalog, cztery","S1, Ep4",S1,8.4,Dekalog
"Dekalog, piec","S1, Ep5",S1,8.5,Dekalog
"Dekalog, szesc","S1, Ep6",S1,8.7,Dekalog
"Dekalog, siedem","S1, Ep7",S1,7.9,Dekalog
"Dekalog, osiem","S1, Ep8",S1,7.5,Dekalog
"Dekalog, dziewiec","S1, Ep9",S1,8.2,Dekalog
"Dekalog, dziesiec","S1, Ep10",S1,8.4,Dekalog
Steven Sees a Ghost,"S1, Ep1",S1,8.2,The Haunting of Hill House
Open Casket,"S1, Ep2",S1,8.0,The Haunting of Hill House
Touch,"S1, Ep3",S1,8.7,The Haunting of Hill House
The Twin Thing,"S1, Ep4",S1,8.6,The Haunting of Hill House
The Bent-Neck Lady,"S1, Ep5",S1,9.5,The Haunting of Hill House
Two Storms,"S1, Ep6",S1,9.4,The Haunting of Hill House
Eulogy,"S1, Ep7",S1,8.3,The Haunting of Hill House
Witness Marks,"S1, Ep8",S1,8.9,The Haunting of Hill House
